miRNA_ID,Cell_line,miRNA_expression,ExperimentSourceInfo,PMID,Disease,Disease_MESH_ID,Disease_DOID_ID,Disease_categories,Disease_main_type,Disease_sub_type
hsa-miR-103a-3p,esophageal squamous cell carcinoma,DOWN,cancer vs normal,18172293,esophageal cancer,D004938,DOID_5041,"Cancer, Digestive & Gastrointestinal Conditions",esophageal cancer,
hsa-miR-107,esophageal squamous cell carcinoma,DOWN,cancer vs normal,18172293,esophageal cancer,D004938,DOID_5041,"Cancer, Digestive & Gastrointestinal Conditions",esophageal cancer,
hsa-miR-20a-5p, ,UP,cancer vs normal,18230780,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-miR-21-5p, ,UP,cancer vs normal,18230780,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-miR-106a-5p, ,UP,cancer vs normal,18230780,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-miR-181a-3p, ,UP,cancer vs normal,18230780,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-miR-203a-3p, ,UP,cancer vs normal,18230780,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-miR-1-3p,metastatic colonrectal cancer,DOWN,cancer vs normal,19843336,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-miR-126-3p,metastatic colonrectal cancer,DOWN,cancer vs normal,19843336,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-miR-145-5p,metastatic colonrectal cancer,DOWN,cancer vs normal,19843336,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-miR-30b-5p,metastatic colonrectal cancer,DOWN,cancer vs normal,19843336,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-miR-194-5p,metastatic colonrectal cancer,DOWN,cancer vs normal,19843336,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-miR-143-3p,metastatic colonrectal cancer,DOWN,cancer vs normal,19843336,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-miR-26a-5p,metastatic colonrectal cancer,DOWN,cancer vs normal,19843336,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-miR-7-5p,metastatic colonrectal cancer,UP,cancer vs normal,19843336,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-miR-20a-5p,metastatic colonrectal cancer,UP,cancer vs normal,19843336,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-miR-125b-5p,metastatic colonrectal cancer,DOWN,cancer vs normal,19843336,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-miR-175p,wilms tumor,UP,cancer vs normal,18519660,kidney cancer,D007680,DOID_263,"Cancer, Genitourinary Conditions",kidney cancer,
hsa-miR-18a-5p,wilms tumor,UP,cancer vs normal,18519660,kidney cancer,D007680,DOID_263,"Cancer, Genitourinary Conditions",kidney cancer,
hsa-miR-19b-3p,wilms tumor,UP,cancer vs normal,18519660,kidney cancer,D007680,DOID_263,"Cancer, Genitourinary Conditions",kidney cancer,
hsa-miR-20a-5p,wilms tumor,UP,cancer vs normal,18519660,kidney cancer,D007680,DOID_263,"Cancer, Genitourinary Conditions",kidney cancer,
hsa-miR-92a-3p,wilms tumor,UP,cancer vs normal,18519660,kidney cancer,D007680,DOID_263,"Cancer, Genitourinary Conditions",kidney cancer,
hsa-miR-21-5p, ,UP,cancer vs normal,19351747,head and neck cancer,D006258,DOID_11934,Cancer,head and neck cancer,
hsa-miR-18a-5p, ,UP,cancer vs normal,19351747,head and neck cancer,D006258,DOID_11934,Cancer,head and neck cancer,
hsa-miR-221-3p, ,UP,cancer vs normal,19351747,head and neck cancer,D006258,DOID_11934,Cancer,head and neck cancer,
hsa-miR-375, ,DOWN,cancer vs normal,19351747,head and neck cancer,D006258,DOID_11934,Cancer,head and neck cancer,
hsa-miR-16-5p, ,DOWN,cancer vs normal,19676045,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-miR-31-5p, ,DOWN,cancer vs normal,19676045,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-miR-125b-5p, ,DOWN,cancer vs normal,19676045,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-miR-145-5p, ,DOWN,cancer vs normal,19676045,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-miR-149-5p, ,DOWN,cancer vs normal,19676045,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-miR-181a-3p, ,DOWN,cancer vs normal,19676045,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
