miRNet_id,miRBase_acc,miRNA_ID,epi_regulator,epi_modification,miRNA_expression,PMID,epi_target,Disease,Disease_MESH_ID,Disease_DOID_ID,Disease_categories,Disease_main_type,Disease_sub_type
mirnet-hsaepi-0001,MI0000472,hsa-mir-127,DNMTs,DNA Methylation,DOWN,16766263,BCL6,cancer,D009369,DOID_162,Cancer,cancer,
mirnet-hsaepi-0002,MI0000471,hsa-mir-126,DNMTs,DNA Methylation,DOWN,16766263,,cancer,D009369,DOID_162,Cancer,cancer,
mirnet-hsaepi-0003,MI0000449,hsa-mir-132,DNMTs,DNA Methylation,DOWN,16766263,,cancer,D009369,DOID_162,Cancer,cancer,
mirnet-hsaepi-0004,MI0000285,hsa-mir-205,DNMTs,DNA Methylation,DOWN,16766263,,cancer,D009369,DOID_162,Cancer,cancer,
mirnet-hsaepi-0005,MI0000268,hsa-mir-34a,HDACs,Histone Acetylation,DOWN,16766263,,cancer,D009369,DOID_162,Cancer,cancer,
mirnet-hsaepi-0006,MI0000261,hsa-mir-139,HDACs,Histone Acetylation,DOWN,16766263,,cancer,D009369,DOID_162,Cancer,cancer,
mirnet-hsaepi-0007,MI0000477,hsa-mir-146a,HDACs,Histone Acetylation,DOWN,16766263,,cancer,D009369,DOID_162,Cancer,cancer,
mirnet-hsaepi-0008,MI0003129,hsa-mir-146b,HDACs,Histone Acetylation,DOWN,16766263,,cancer,D009369,DOID_162,Cancer,cancer,
mirnet-hsaepi-0009,MI0000253,hsa-mir-148a,HDACs,Histone Acetylation,DOWN,16766263,,cancer,D009369,DOID_162,Cancer,cancer,
mirnet-hsaepi-0010,MI0000272,hsa-mir-182,HDACs,Histone Acetylation,DOWN,16766263,,cancer,D009369,DOID_162,Cancer,cancer,
mirnet-hsaepi-0011,MI0000273,hsa-mir-183,HDACs,Histone Acetylation,DOWN,16766263,,cancer,D009369,DOID_162,Cancer,cancer,
mirnet-hsaepi-0012,MI0000472,hsa-mir-127,HDACs,Histone Acetylation,DOWN,16766263,BCL6,cancer,D009369,DOID_162,Cancer,cancer,
mirnet-hsaepi-0013,MI0000062,hsa-let-7a-3,DNMT-1/DNMT-3B,DNA Methylation,UP,17308078,,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
mirnet-hsaepi-0014,MI0000650,hsa-mir-200c,DNMTs,DNA Methylation,DOWN,17308079,,cancer,D009369,DOID_162,Cancer,cancer,
mirnet-hsaepi-0015,MI0000748,hsa-mir-130b,DNMTs,DNA Methylation,DOWN,17308079,,cancer,D009369,DOID_162,Cancer,cancer,
mirnet-hsaepi-0016,MI0000781,hsa-mir-373,DNMTs,DNA Methylation,UP,17308079,,cancer,D009369,DOID_162,Cancer,cancer,
mirnet-hsaepi-0017,MI0003174,hsa-mir-517c,DNMTs,DNA Methylation,UP,17308079,,cancer,D009369,DOID_162,Cancer,cancer,
mirnet-hsaepi-0018,MIMAT0000422,hsa-mir-124-3p,DNMTs,DNA Methylation,UP,17308079,,cancer,D009369,DOID_162,Cancer,cancer,
mirnet-hsaepi-0019,MI0000443,hsa-mir-124-1,DNMTs,DNA Methylation,UP,17308079,CDK6,cancer,D009369,DOID_162,Cancer,cancer,
mirnet-hsaepi-0020,MI0000444,hsa-mir-124-2,DNMTs,DNA Methylation,UP,17308079,CDK6,cancer,D009369,DOID_162,Cancer,cancer,
mirnet-hsaepi-0021,MI0000445,hsa-mir-124-3,DNMTs,DNA Methylation,UP,17308079,CDK6,cancer,D009369,DOID_162,Cancer,cancer,
mirnet-hsaepi-0022,MI0000778,hsa-mir-370,IL-6,DNA Methylation,UP,17621267,MAP3K8,cholangiocarcinoma,D018281,DOID_4947,"Cancer, Digestive & Gastrointestinal Conditions",cholangiocarcinoma,
mirnet-hsaepi-0023,MI0000466,hsa-mir-9-1,DNMTs,DNA Methylation,UP,17948228,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
mirnet-hsaepi-0024,MI0000062,hsa-let-7a-3,DNMTs,DNA Methylation,UP,17974952,IGF-II,ovarian cancer,D010051,DOID_2394,"Cancer, Genitourinary Conditions",ovarian cancer,
mirnet-hsaepi-0025,MI0000300,hsa-mir-223,AML1-ETO oncoprotein/HDAC1/DNMTs/MeCP2,DNA Methylation,UP,17996649,,leukemia,D007938,DOID_1240,"Cancer, Hematopoietic & Lymphatic Conditions",leukemia,
