miRNet_ID,miRBase_acc,miRNA_ID,lncRNA_gene ,lncRNA_entrez,lncRNA_embl
miRNet-lnc-1,MIMAT0000062,hsa-let-7a-5p,ZNF436-AS1,148898,ENSG00000249087
miRNet-lnc-2,MIMAT0000062,hsa-let-7a-5p,SNHG12,85028,ENSG00000197989
miRNet-lnc-3,MIMAT0000062,hsa-let-7a-5p,MIR29B2CHG,100128537,ENSG00000203709
miRNet-lnc-4,MIMAT0000062,hsa-let-7a-5p,LINC01806,100996579,ENSG00000227403
miRNet-lnc-5,MIMAT0000062,hsa-let-7a-5p,LMCD1-AS1,100288428,ENSG00000227110
miRNet-lnc-6,MIMAT0000062,hsa-let-7a-5p,MUC20-OT1,111753249,ENSG00000242086
miRNet-lnc-7,MIMAT0000062,hsa-let-7a-5p,LINC00885,401109,ENSG00000224652
miRNet-lnc-8,MIMAT0000062,hsa-let-7a-5p,LINC02432,100507639,ENSG00000248810
miRNet-lnc-9,MIMAT0000062,hsa-let-7a-5p,SLC9A3-AS1,100288152,ENSG00000225138
miRNet-lnc-10,MIMAT0000062,hsa-let-7a-5p,LINC02242,105379006,ENSG00000249736
miRNet-lnc-11,MIMAT0000062,hsa-let-7a-5p,SNHG4,724102,ENSG00000281398
miRNet-lnc-12,MIMAT0000062,hsa-let-7a-5p,SNHG4,724102,ENSG00000281398
miRNet-lnc-13,MIMAT0000062,hsa-let-7a-5p,SNHG4,724102,ENSG00000281398
miRNet-lnc-14,MIMAT0000062,hsa-let-7a-5p,CARMN,728264,ENSG00000249669
miRNet-lnc-15,MIMAT0000062,hsa-let-7a-5p,HEIH,100859930,ENSG00000278970
miRNet-lnc-16,MIMAT0000062,hsa-let-7a-5p,HEIH,100859930,ENSG00000278970
miRNet-lnc-17,MIMAT0000062,hsa-let-7a-5p,HCG18,414777,ENSG00000231074
miRNet-lnc-18,MIMAT0000062,hsa-let-7a-5p,IER3-AS1,105379695,ENSG00000272273
miRNet-lnc-19,MIMAT0000062,hsa-let-7a-5p,HOXA11-AS,221883,ENSG00000240990
miRNet-lnc-20,MIMAT0000062,hsa-let-7a-5p,TRG-AS1,100506776,ENSG00000281103
miRNet-lnc-21,MIMAT0000062,hsa-let-7a-5p,LINC00265,349114,ENSG00000188185
miRNet-lnc-22,MIMAT0000062,hsa-let-7a-5p,STAG3L5P-PVRIG2P-PILRB,101752399,ENSG00000272752
miRNet-lnc-23,MIMAT0000062,hsa-let-7a-5p,CDKN2B-AS1,100048912,ENSG00000240498
miRNet-lnc-24,MIMAT0000062,hsa-let-7a-5p,LINC00963,100506190,ENSG00000204054
miRNet-lnc-25,MIMAT0000062,hsa-let-7a-5p,NUTM2A-AS1,728190,ENSG00000223482
miRNet-lnc-26,MIMAT0000062,hsa-let-7a-5p,OLMALINC,90271,ENSG00000235823
miRNet-lnc-27,MIMAT0000062,hsa-let-7a-5p,RPARP-AS1,100505761,ENSG00000269609
miRNet-lnc-28,MIMAT0000062,hsa-let-7a-5p,LINC01001,100133161,ENSG00000230724
miRNet-lnc-29,MIMAT0000062,hsa-let-7a-5p,KCNQ1OT1,10984,ENSG00000269821
miRNet-lnc-30,MIMAT0000062,hsa-let-7a-5p,KCNQ1OT1,10984,ENSG00000269821
miRNet-lnc-31,MIMAT0000062,hsa-let-7a-5p,KCNQ1OT1,10984,ENSG00000269821
miRNet-lnc-32,MIMAT0000062,hsa-let-7a-5p,KCNQ1OT1,10984,ENSG00000269821
miRNet-lnc-33,MIMAT0000062,hsa-let-7a-5p,KCNQ1OT1,10984,ENSG00000269821
miRNet-lnc-34,MIMAT0000062,hsa-let-7a-5p,KCNQ1OT1,10984,ENSG00000269821
miRNet-lnc-35,MIMAT0000062,hsa-let-7a-5p,LINC00294,283267,ENSG00000280798
miRNet-lnc-36,MIMAT0000062,hsa-let-7a-5p,NEAT1,283131,ENSG00000245532
miRNet-lnc-37,MIMAT0000062,hsa-let-7a-5p,NEAT1,283131,ENSG00000245532
miRNet-lnc-38,MIMAT0000062,hsa-let-7a-5p,NEAT1,283131,ENSG00000245532
miRNet-lnc-39,MIMAT0000062,hsa-let-7a-5p,LINC02381,400043,ENSG00000250742
miRNet-lnc-40,MIMAT0000062,hsa-let-7a-5p,TMPO-AS1,100128191,ENSG00000257167
miRNet-lnc-41,MIMAT0000062,hsa-let-7a-5p,HELLPAR,101101692,ENSG00000281344
miRNet-lnc-42,MIMAT0000062,hsa-let-7a-5p,G2E3-AS1,105370431,ENSG00000257636
