miRNet_id,miRBase_acc,miRNA_ID,TF_gene,TF_gene_entrez,TF_gene_embl,TF_action_type,PMID
miRNet-hsatf-1,MI0000681,hsa-mir-155,AGO2,27161,ENSG00000123908,Repression,24263100
miRNet-hsatf-2,MI0000734,hsa-mir-106b,AHR,196,ENSG00000106546,Activation(feedback),24798859
miRNet-hsatf-3,MI0000449,hsa-mir-132,AHR,196,ENSG00000106546,Activation,25617893
miRNet-hsatf-4,MI0000449,hsa-mir-132,AHR,196,ENSG00000106546,Activation,26377202
miRNet-hsatf-5,MI0000288,hsa-mir-212,AHR,196,ENSG00000106546,Activation,25617893
miRNet-hsatf-6,MI0000288,hsa-mir-212,AHR,196,ENSG00000106546,Activation,26377202
miRNet-hsatf-7,MI0000082,hsa-mir-25,AHR,196,ENSG00000106546,Activation(feedback),24798859
miRNet-hsatf-8,MI0000095,hsa-mir-93,AHR,196,ENSG00000106546,Activation,24798859
miRNet-hsatf-9,MI0000066,hsa-let-7e,AKT1,207,ENSG00000142208,Activation,19699171
miRNet-hsatf-10,MI0000681,hsa-mir-155,AKT1,207,ENSG00000142208,Repression,19699171
miRNet-hsatf-11,MI0000271,hsa-mir-181c,AKT1,207,ENSG00000142208,Activation,19699171
miRNet-hsatf-12,MI0000078,hsa-mir-22,AKT1,207,ENSG00000142208,Activation(feedback),20523723
miRNet-hsatf-13,MI0000737,hsa-mir-200a,AKT2,208,ENSG00000105221,Regulation,22809628
miRNet-hsatf-14,MI0000342,hsa-mir-200b,AKT2,208,ENSG00000105221,Regulation,22809628
miRNet-hsatf-15,MI0000650,hsa-mir-200c,AKT2,208,ENSG00000105221,Regulation,22809628
miRNet-hsatf-16,MI0000078,hsa-mir-22,AKT2,208,ENSG00000105221,Activation,20523723
miRNet-hsatf-17,MI0000078,hsa-mir-22,AKT3,10000,ENSG00000117020,Activation(feedback),20523723
miRNet-hsatf-18,MI0000078,hsa-mir-22,AKT3,10000,ENSG00000275199,Activation(feedback),20523723
miRNet-hsatf-19,MI0000470,hsa-mir-125b-2,APEX1,328,ENSG00000100823,Activation,25728837
miRNet-hsatf-20,MI0000822,hsa-mir-133b,APEX1,328,ENSG00000100823,Activation,25728837
miRNet-hsatf-21,MI0000064,hsa-let-7c,AR,367,ENSG00000169083,Repression,23503464
miRNet-hsatf-22,MI0000437,hsa-mir-1-2,AR,367,ENSG00000169083,Activation,25802280
miRNet-hsatf-23,MI0000470,hsa-mir-125b-2,AR,367,ENSG00000169083,Activation,18056640
miRNet-hsatf-24,MI0000470,hsa-mir-125b-2,AR,367,ENSG00000169083,Repression,23503464
miRNet-hsatf-25,MI0000470,hsa-mir-125b-2,AR,367,ENSG00000169083,Activation,25728837
miRNet-hsatf-26,MI0000822,hsa-mir-133b,AR,367,ENSG00000169083,Activation,23451058
miRNet-hsatf-27,MI0000822,hsa-mir-133b,AR,367,ENSG00000169083,Activation,25728837
miRNet-hsatf-28,MI0000461,hsa-mir-145,AR,367,ENSG00000169083,Repression,26304926
miRNet-hsatf-29,MI0000071,hsa-mir-17,AR,367,ENSG00000169083,Activation,27501757
