miRNA_ID,miRNA_expression,Disease,Disease_MESH_ID,Disease_DOID_ID,Disease_categories,Disease_main_type,Disease_sub_type
hsa-let-7a,UP,acute myeloid leukemia,D015470,DOID_9119,"Cancer, Hematopoietic & Lymphatic Conditions",leukemia,acute myeloid
hsa-let-7a,UP,acute myeloid leukemia,D015470,DOID_9119,"Cancer, Hematopoietic & Lymphatic Conditions",leukemia,acute myeloid
hsa-let-7a,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-let-7a,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-let-7a,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-let-7a,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-let-7a,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-let-7a,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-let-7a,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-let-7a,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-let-7a,DOWN,chondrosarcoma,D002813,DOID_3371,"Cancer, Musculoskeletal Conditions",chondrosarcoma,
hsa-let-7a,DOWN,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-let-7a,DOWN,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-let-7a,DOWN,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-let-7a,DOWN,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-let-7a,UP,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-let-7a,DOWN,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-let-7a,DOWN,esophageal squamous cell carcinoma,D000077277,DOID_1749,"Cancer, Digestive & Gastrointestinal Conditions, Integumentary System, Cells",carcinoma,esophageal squamous cell
hsa-let-7a,DOWN,esophageal squamous cell carcinoma,D000077277,DOID_1749,"Cancer, Digestive & Gastrointestinal Conditions, Integumentary System, Cells",carcinoma,esophageal squamous cell
hsa-let-7a,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-let-7a,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-let-7a,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-let-7a,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-let-7a,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-let-7a,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-let-7a,DOWN,glioma,D005910,,Cancer,glioma,
hsa-let-7a,DOWN,glioma,D005910,,Cancer,glioma,
hsa-let-7a,DOWN,laryngeal cancer,D007822,DOID_162,Cancer,laryngeal cancer,
hsa-let-7a,DOWN,nasopharyngeal carcinoma,D000077274,DOID_9261,"Cancer, Eyes/Nose/Ears",carcinoma,nasopharyngeal
hsa-let-7a,DOWN,nasopharyngeal carcinoma,D000077274,DOID_9261,"Cancer, Eyes/Nose/Ears",carcinoma,nasopharyngeal
hsa-let-7a,DOWN,nasopharyngeal carcinoma,D000077274,DOID_9261,"Cancer, Eyes/Nose/Ears",carcinoma,nasopharyngeal
hsa-let-7a,DOWN,non-small cell lung cancer,D055752,"CL_0000000,DOID_1324","Cancer, Respiratory Conditions, Cells",non-small cell lung cancer,
hsa-let-7a,DOWN,oral squamous cell carcinoma,D000077195,DOID_0050866,"Cancer, Integumentary System, Teeth and Mouth Conditions, Cells",carcinoma,oral squamous cell
hsa-let-7a,DOWN,osteosarcoma,D012516,DOID_3347,"Cancer, Musculoskeletal Conditions",osteosarcoma,
hsa-let-7a,DOWN,osteosarcoma,D012516,DOID_3347,"Cancer, Musculoskeletal Conditions",osteosarcoma,
hsa-let-7a,DOWN,osteosarcoma,D012516,DOID_3347,"Cancer, Musculoskeletal Conditions",osteosarcoma,
hsa-let-7a,DOWN,pancreatic ductal adenocarcinoma,"D000230,D010183",DOID_3498,"Cancer, Digestive & Gastrointestinal Conditions, Breast Conditions",adenocarcinoma,pancreatic ductal
hsa-let-7a,DOWN,papillary thyroid carcinoma,D000077273,DOID_3969,"Cancer, Endocrine and Metabolic Conditions",carcinoma,papillary thyroid
hsa-let-7a,DOWN,papillary thyroid carcinoma,D000077273,DOID_3969,"Cancer, Endocrine and Metabolic Conditions",carcinoma,papillary thyroid
hsa-let-7a,DOWN,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-let-7a,DOWN,renal cell carcinoma,D002292,DOID_4450,"Cancer, Genitourinary Conditions, Cells",carcinoma,renal cell
hsa-let-7a-1,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-let-7a-1,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-let-7a-1,DOWN,bronchioloalveolar carcinoma,D002282,DOID_4926,"Cancer, Respiratory Conditions",carcinoma,bronchioloalveolar
hsa-let-7a-1,DOWN,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-let-7a-1,DOWN,esophageal squamous cell carcinoma,D000077277,DOID_1749,"Cancer, Digestive & Gastrointestinal Conditions, Integumentary System, Cells",carcinoma,esophageal squamous cell
hsa-let-7a-1,DOWN,esophageal squamous cell carcinoma,D000077277,DOID_1749,"Cancer, Digestive & Gastrointestinal Conditions, Integumentary System, Cells",carcinoma,esophageal squamous cell
hsa-let-7a-1,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-let-7a-1,DOWN,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-let-7a-1,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-let-7a-1,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-let-7a-1,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-let-7a-1,DOWN,nasopharyngeal carcinoma,D000077274,DOID_9261,"Cancer, Eyes/Nose/Ears",carcinoma,nasopharyngeal
hsa-let-7a-1,DOWN,neuroblastoma,D009447,DOID_769,"Cancer, Neurological Conditions",neuroblastoma,
hsa-let-7a-1,DOWN,pancreatic ductal adenocarcinoma,"D000230,D010183",DOID_3498,"Cancer, Digestive & Gastrointestinal Conditions, Breast Conditions",adenocarcinoma,pancreatic ductal
hsa-let-7a-2,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-let-7a-2,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-let-7a-2,DOWN,bronchioloalveolar carcinoma,D002282,DOID_4926,"Cancer, Respiratory Conditions",carcinoma,bronchioloalveolar
hsa-let-7a-2,DOWN,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-let-7a-2,DOWN,esophageal squamous cell carcinoma,D000077277,DOID_1749,"Cancer, Digestive & Gastrointestinal Conditions, Integumentary System, Cells",carcinoma,esophageal squamous cell
hsa-let-7a-2,DOWN,esophageal squamous cell carcinoma,D000077277,DOID_1749,"Cancer, Digestive & Gastrointestinal Conditions, Integumentary System, Cells",carcinoma,esophageal squamous cell
hsa-let-7a-2,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-let-7a-2,DOWN,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-let-7a-2,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-let-7a-2,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-let-7a-2,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-let-7a-2,DOWN,nasopharyngeal carcinoma,D000077274,DOID_9261,"Cancer, Eyes/Nose/Ears",carcinoma,nasopharyngeal
hsa-let-7a-2,DOWN,neuroblastoma,D009447,DOID_769,"Cancer, Neurological Conditions",neuroblastoma,
hsa-let-7a-2,DOWN,pancreatic ductal adenocarcinoma,"D000230,D010183",DOID_3498,"Cancer, Digestive & Gastrointestinal Conditions, Breast Conditions",adenocarcinoma,pancreatic ductal
hsa-let-7a-3,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-let-7a-3,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-let-7a-3,DOWN,bronchioloalveolar carcinoma,D002282,DOID_4926,"Cancer, Respiratory Conditions",carcinoma,bronchioloalveolar
hsa-let-7a-3,DOWN,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-let-7a-3,DOWN,esophageal squamous cell carcinoma,D000077277,DOID_1749,"Cancer, Digestive & Gastrointestinal Conditions, Integumentary System, Cells",carcinoma,esophageal squamous cell
hsa-let-7a-3,DOWN,esophageal squamous cell carcinoma,D000077277,DOID_1749,"Cancer, Digestive & Gastrointestinal Conditions, Integumentary System, Cells",carcinoma,esophageal squamous cell
hsa-let-7a-3,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-let-7a-3,DOWN,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-let-7a-3,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-let-7a-3,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-let-7a-3,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-let-7a-3,DOWN,nasopharyngeal carcinoma,D000077274,DOID_9261,"Cancer, Eyes/Nose/Ears",carcinoma,nasopharyngeal
hsa-let-7a-3,DOWN,neuroblastoma,D009447,DOID_769,"Cancer, Neurological Conditions",neuroblastoma,
hsa-let-7a-3,DOWN,pancreatic ductal adenocarcinoma,"D000230,D010183",DOID_3498,"Cancer, Digestive & Gastrointestinal Conditions, Breast Conditions",adenocarcinoma,pancreatic ductal
hsa-let-7a-3p,DOWN,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-let-7b,DOWN,acute lymphoblastic leukemia,D054198,DOID_9952,"Cancer, Hematopoietic & Lymphatic Conditions",leukemia,acute lymphoblastic
hsa-let-7b,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-let-7b,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-let-7b,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-let-7b,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-let-7b,DOWN,bronchioloalveolar carcinoma,D002282,DOID_4926,"Cancer, Respiratory Conditions",carcinoma,bronchioloalveolar
hsa-let-7b,DOWN,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-let-7b,DOWN,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-let-7b,DOWN,esophageal squamous cell carcinoma,D000077277,DOID_1749,"Cancer, Digestive & Gastrointestinal Conditions, Integumentary System, Cells",carcinoma,esophageal squamous cell
hsa-let-7b,DOWN,esophageal squamous cell carcinoma,D000077277,DOID_1749,"Cancer, Digestive & Gastrointestinal Conditions, Integumentary System, Cells",carcinoma,esophageal squamous cell
hsa-let-7b,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
