PMID,miRNA_ID,miRBase_acc,Drug,CID,SMILES,miRNA_expression,Drug_effect,Target_gene,Regulation,Disease,Disease_MESH_ID,Disease_DOID_ID,Disease_categories,Disease_main_type,Disease_sub_type
16762633,hsa-mir-200b,MI0000342,Gemcitabine,3461;60749;60750;11054511,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F;C1=CN(C(=O)N=C1N)C2C([C@@H]([C@H](O2)CO)O)(F)F;C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F;C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F.Cl,DOWN,Resistant,PTPN12,,cholangiocarcinoma,D018281,DOID_4947,"Cancer, Digestive & Gastrointestinal Conditions",cholangiocarcinoma,
16762633,hsa-mir-21,MI0000077,Gemcitabine,3461;60749;60750;11054511,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F;C1=CN(C(=O)N=C1N)C2C([C@@H]([C@H](O2)CO)O)(F)F;C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F;C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F.Cl,DOWN,Resistant,PTEN,,cholangiocarcinoma,D018281,DOID_4947,"Cancer, Digestive & Gastrointestinal Conditions",cholangiocarcinoma,
17686970,hsa-mir-24-1,MI0000080,Methotrexate,4112;72440;126941;165528;11329481;45157423;69400440;87368260,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O;CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O;CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O.CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O;CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O.O;CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O.O.O;CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O.O.O.O;CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-].[Na+].[Na+];CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@H](CCC(=O)O)C(=O)O,DOWN,Associated,DHFR,,fibrosarcoma,D005354,DOID_3355,Cancer,fibrosarcoma,
18199536,hsa-mir-214,MI0000290,Cisplatin,5460033;5702198,N.N.Cl[Pt]Cl,DOWN,Resistant,PTEN,Akt pathway,ovarian cancer,D010051,DOID_2394,"Cancer, Genitourinary Conditions",ovarian cancer,
18246122,hsa-mir-100,MI0000102,TRAIL therapy,,,UP,Resistant,p27Kip1,,non-small cell lung cancer,D055752,"CL_0000000,DOID_1324","Cancer, Respiratory Conditions, Cells",non small cell lung cancer,
18246122,hsa-mir-125b-1,MI0000446,TRAIL therapy,,,UP,Resistant,p27Kip1,,non-small cell lung cancer,D055752,"CL_0000000,DOID_1324","Cancer, Respiratory Conditions, Cells",non small cell lung cancer,
18246122,hsa-mir-15b,MI0000438,TRAIL therapy,,,UP,Resistant,,,non-small cell lung cancer,D055752,"CL_0000000,DOID_1324","Cancer, Respiratory Conditions, Cells",non small cell lung cancer,
18246122,hsa-mir-221,MI0000298,TRAIL therapy,,,UP,Resistant,,,non-small cell lung cancer,D055752,"CL_0000000,DOID_1324","Cancer, Respiratory Conditions, Cells",non small cell lung cancer,
18246122,hsa-mir-222,MI0000299,TRAIL therapy,,,UP,Resistant,,,non-small cell lung cancer,D055752,"CL_0000000,DOID_1324","Cancer, Respiratory Conditions, Cells",non small cell lung cancer,
18246122,hsa-mir-9-1,MI0000466,TRAIL therapy,,,UP,Sensitive,,,non-small cell lung cancer,D055752,"CL_0000000,DOID_1324","Cancer, Respiratory Conditions, Cells",non small cell lung cancer,
