miRNA_ID,miRBase_acc,precursor_miRNA_id,PMID,diagnostic_marker,prognostic_marker,tested_prognostic_outcome,Biomarker_sample_type,miRNA_expression,Cell_line,Disease,Disease_MESH_ID,Disease_DOID_ID,Disease_categories,Disease_main_type,Disease_sub_type
hsa-let-7b-5p,MIMAT0000063,hsa-let-7b,31568692,YES, , ,Plasma,UP,breast,breast neoplasms,D001943,UBERON_0000310,"Cancer, Breast Conditions",neoplasm,breast
hsa-let-7b-5p,MIMAT0000063,hsa-let-7b,31568692,YES, , ,Plasma,UP,breast,breast neoplasms,D001943,UBERON_0000310,"Cancer, Breast Conditions",neoplasm,breast
hsa-let-7b-5p,MIMAT0000063,hsa-let-7b,21546856,YES, , ,Serum,UP,bowel,crohn disease,D003424,DOID_8778,Digestive & Gastrointestinal Conditions,crohn disease,
hsa-let-7b-5p,MIMAT0000063,hsa-let-7b,24978044,YES, , ,Plasma,DOWN,heart,"pulmonary hypertension, chronic thromboembolic, without deep vein thrombosis, susceptibility to","D006976,D020246","DOID_0060903,DOID_6432,UBERON_0001638","Cardiovascular Conditions, Respiratory Conditions",pulmonary hypertension,chronic thromboembolic
hsa-let-7b-5p,MIMAT0000063,hsa-let-7b,31568692,YES, , ,Plasma,UP,breast,breast neoplasms,D001943,UBERON_0000310,"Cancer, Breast Conditions",neoplasm,breast
hsa-let-7b-5p,MIMAT0000063,hsa-let-7b,31568692,YES, , ,Plasma,UP,breast,breast neoplasms,D001943,UBERON_0000310,"Cancer, Breast Conditions",neoplasm,breast
hsa-let-7b-5p,MIMAT0000063,hsa-let-7b,27265125,YES, , ,Plasma,DOWN,prostate,prostatic neoplasms,D011471,DOID_10283,"Cancer, Genitourinary Conditions",neoplasm,prostatic
hsa-let-7b-5p,MIMAT0000063,hsa-let-7b,24978044,YES, , ,Plasma,DOWN,heart,"pulmonary hypertension, chronic thromboembolic, without deep vein thrombosis, susceptibility to","D006976,D020246","DOID_0060903,DOID_6432,UBERON_0001638","Cardiovascular Conditions, Respiratory Conditions",pulmonary hypertension,chronic thromboembolic
hsa-let-7b-5p,MIMAT0000063,hsa-let-7b,31568692,YES, , ,Plasma,UP,breast,breast neoplasms,D001943,UBERON_0000310,"Cancer, Breast Conditions",neoplasm,breast
hsa-let-7c-5p,MIMAT0000064,hsa-let-7c,27265125,YES, , ,Plasma,DOWN,prostate,prostatic neoplasms,D011471,DOID_10283,"Cancer, Genitourinary Conditions",neoplasm,prostatic
hsa-let-7c-5p,MIMAT0000064,hsa-let-7c,21060830,YES, , ,Plasma,DOWN,breast,breast neoplasms,D001943,UBERON_0000310,"Cancer, Breast Conditions",neoplasm,breast
hsa-let-7c-5p,MIMAT0000064,hsa-let-7c,22298030,YES, , ,Plasma,DOWN,prostate,prostatic neoplasms,D011471,DOID_10283,"Cancer, Genitourinary Conditions",neoplasm,prostatic
hsa-let-7c-5p,MIMAT0000064,hsa-let-7c,22298030,YES, , ,Plasma,DOWN,prostate,prostatic neoplasms,D011471,DOID_10283,"Cancer, Genitourinary Conditions",neoplasm,prostatic
hsa-let-7d-3p,MIMAT0004484,hsa-let-7d,21060830,YES, , ,Plasma,DOWN,breast,breast neoplasms,D001943,UBERON_0000310,"Cancer, Breast Conditions",neoplasm,breast
