miRNet_ID,miRBase_acc,miRNA_ID,snc_gene,snc_entrez,snc_embl
miRNet-snc-1,MIMAT0000062,hsa-let-7a-5p,SNORD11B,100113392,ENSG00000271852
miRNet-snc-2,MIMAT0000062,hsa-let-7a-5p,SNORD11,692058,ENSG00000238317
miRNet-snc-3,MIMAT0000062,hsa-let-7a-5p,RNA5SP221,106480759,ENSG00000223203
miRNet-snc-4,MIMAT0000062,hsa-let-7a-5p,RN7SKP231,106479198,ENSG00000200151
miRNet-snc-5,MIMAT0000063,hsa-let-7b-5p,SNORD11B,100113392,ENSG00000271852
miRNet-snc-6,MIMAT0000063,hsa-let-7b-5p,SNORD11,692058,ENSG00000238317
miRNet-snc-7,MIMAT0000063,hsa-let-7b-5p,RNA5SP221,106480759,ENSG00000223203
miRNet-snc-8,MIMAT0000063,hsa-let-7b-5p,RN7SKP231,106479198,ENSG00000200151
miRNet-snc-9,MIMAT0000064,hsa-let-7c-5p,SNORD11B,100113392,ENSG00000271852
miRNet-snc-10,MIMAT0000064,hsa-let-7c-5p,SNORD11,692058,ENSG00000238317
miRNet-snc-11,MIMAT0000064,hsa-let-7c-5p,RNA5SP221,106480759,ENSG00000223203
miRNet-snc-12,MIMAT0000064,hsa-let-7c-5p,RN7SKP231,106479198,ENSG00000200151
miRNet-snc-13,MIMAT0000065,hsa-let-7d-5p,SNORD11B,100113392,ENSG00000271852
miRNet-snc-14,MIMAT0000065,hsa-let-7d-5p,SNORD11,692058,ENSG00000238317
miRNet-snc-15,MIMAT0000065,hsa-let-7d-5p,RNA5SP221,106480759,ENSG00000223203
miRNet-snc-16,MIMAT0000065,hsa-let-7d-5p,RN7SKP231,106479198,ENSG00000200151
miRNet-snc-17,MIMAT0000066,hsa-let-7e-5p,SNORD11B,100113392,ENSG00000271852
miRNet-snc-18,MIMAT0000066,hsa-let-7e-5p,SNORD11,692058,ENSG00000238317
miRNet-snc-19,MIMAT0000066,hsa-let-7e-5p,RNA5SP221,106480759,ENSG00000223203
miRNet-snc-20,MIMAT0000066,hsa-let-7e-5p,RN7SKP231,106479198,ENSG00000200151
miRNet-snc-21,MIMAT0000067,hsa-let-7f-5p,SNORD11B,100113392,ENSG00000271852
miRNet-snc-22,MIMAT0000067,hsa-let-7f-5p,SNORD11,692058,ENSG00000238317
miRNet-snc-23,MIMAT0000067,hsa-let-7f-5p,RNA5SP221,106480759,ENSG00000223203
miRNet-snc-24,MIMAT0000067,hsa-let-7f-5p,RN7SKP231,106479198,ENSG00000200151
miRNet-snc-25,MIMAT0000414,hsa-let-7g-5p,SNORD11B,100113392,ENSG00000271852
miRNet-snc-26,MIMAT0000414,hsa-let-7g-5p,SNORD11,692058,ENSG00000238317
miRNet-snc-27,MIMAT0000414,hsa-let-7g-5p,RNA5SP221,106480759,ENSG00000223203
miRNet-snc-28,MIMAT0000414,hsa-let-7g-5p,RN7SKP231,106479198,ENSG00000200151
miRNet-snc-29,MIMAT0000415,hsa-let-7i-5p,SNORD11B,100113392,ENSG00000271852
miRNet-snc-30,MIMAT0000415,hsa-let-7i-5p,SNORD11,692058,ENSG00000238317
miRNet-snc-31,MIMAT0000415,hsa-let-7i-5p,RNA5SP221,106480759,ENSG00000223203
miRNet-snc-32,MIMAT0000415,hsa-let-7i-5p,RN7SKP231,106479198,ENSG00000200151
miRNet-snc-33,MIMAT0000416,hsa-mir-1-3p,SCARNA4,677771,ENSG00000252808
miRNet-snc-34,MIMAT0000416,hsa-mir-1-3p,RN7SKP156,106480882,ENSG00000222240
miRNet-snc-35,MIMAT0000416,hsa-mir-1-3p,SNORA77,677843,ENSG00000221643
miRNet-snc-36,MIMAT0000416,hsa-mir-1-3p,RN7SKP25,106480364,ENSG00000199319
miRNet-snc-37,MIMAT0000416,hsa-mir-1-3p,RNU6-597P,106481905,ENSG00000202490
miRNet-snc-38,MIMAT0000416,hsa-mir-1-3p,SNORD116-1,100033413,ENSG00000207063
miRNet-snc-39,MIMAT0000416,hsa-mir-1-3p,SNORD116-8,100033420,ENSG00000207093
miRNet-snc-40,MIMAT0000416,hsa-mir-1-3p,SNORD116-12,100033424,ENSG00000207197
miRNet-snc-41,MIMAT0000416,hsa-mir-1-3p,SNORD116-14,100033426,ENSG00000206621
miRNet-snc-42,MIMAT0000416,hsa-mir-1-3p,SNORD116-15,100033427,ENSG00000207174
miRNet-snc-43,MIMAT0000416,hsa-mir-1-3p,SNORD116-17,100033429,ENSG00000206656
miRNet-snc-44,MIMAT0000416,hsa-mir-1-3p,SNORD116-18,100033430,ENSG00000206688
miRNet-snc-45,MIMAT0000416,hsa-mir-1-3p,SNORD116-19,727708,ENSG00000207460
miRNet-snc-46,MIMAT0000416,hsa-mir-1-3p,RNU6-1339P,106481603,ENSG00000200444
miRNet-snc-47,MIMAT0000416,hsa-mir-1-3p,SNORD104,692227,ENSG00000199753
miRNet-snc-48,MIMAT0000416,hsa-mir-1-3p,RNU1-80P,106480174,ENSG00000238898
miRNet-snc-49,MIMAT0000416,hsa-mir-1-3p,RNA5SP476,100873718,ENSG00000252422
miRNet-snc-50,MIMAT0000416,hsa-mir-1-3p,SNORA77B,109617010,ENSG00000264346
miRNet-snc-51,MIMAT0000098,hsa-mir-100-5p,SNORA70J,109616973,ENSG00000206909
miRNet-snc-52,MIMAT0000098,hsa-mir-100-5p,RN7SKP33,106480843,ENSG00000222874
miRNet-snc-53,MIMAT0000098,hsa-mir-100-5p,RNA5SP513,100873564,ENSG00000201518
miRNet-snc-54,MIMAT0000099,hsa-mir-101-3p,RN7SKP213,106480899,ENSG00000222678
miRNet-snc-55,MIMAT0000099,hsa-mir-101-3p,RNA5SP121,100873391,ENSG00000252346
miRNet-snc-56,MIMAT0000099,hsa-mir-101-3p,RN7SKP232,106480905,ENSG00000222102
miRNet-snc-57,MIMAT0000099,hsa-mir-101-3p,SNORA2C,677815,ENSG00000221491
miRNet-snc-58,MIMAT0000099,hsa-mir-101-3p,RNA5SP505,100873556,ENSG00000201618
miRNet-snc-59,MIMAT0000099,hsa-mir-101-3p,RNA5SP516,100873567,ENSG00000201000
miRNet-snc-60,MIMAT0000101,hsa-mir-103a-3p,SNORA59A,677885,ENSG00000239149
miRNet-snc-61,MIMAT0000101,hsa-mir-103a-3p,SNORD55,26811,ENSG00000264294
miRNet-snc-62,MIMAT0000101,hsa-mir-103a-3p,RNA5SP79,100873313,ENSG00000202063
miRNet-snc-63,MIMAT0000101,hsa-mir-103a-3p,SNORA19,641451,ENSG00000207468
miRNet-snc-64,MIMAT0000101,hsa-mir-103a-3p,SNORA53,677832,ENSG00000212443
miRNet-snc-65,MIMAT0000101,hsa-mir-103a-3p,RN7SKP8,100873852,ENSG00000222969
miRNet-snc-66,MIMAT0000101,hsa-mir-103a-3p,RNU2-32P,106481644,ENSG00000223125
miRNet-snc-67,MIMAT0000101,hsa-mir-103a-3p,RNA5SP524,111644143,ENSG00000201285
miRNet-snc-68,MIMAT0000102,hsa-mir-105-5p,RNU1-30P,106480662,ENSG00000272020
miRNet-snc-69,MIMAT0000102,hsa-mir-105-5p,RNU6-839P,106481446,ENSG00000200217
miRNet-snc-70,MIMAT0000102,hsa-mir-105-5p,SNORD15A,6079,ENSG00000206941
miRNet-snc-71,MIMAT0000102,hsa-mir-105-5p,SNORD15B,114599,ENSG00000207445
miRNet-snc-72,MIMAT0000102,hsa-mir-105-5p,SCARNA14,692149,ENSG00000252712
miRNet-snc-73,MIMAT0000102,hsa-mir-105-5p,RNU1-131P,106480193,ENSG00000238833
miRNet-snc-74,MIMAT0000103,hsa-mir-106a-5p,RN7SL296P,106481003,ENSG00000263587
miRNet-snc-75,MIMAT0000103,hsa-mir-106a-5p,RN7SKP296,106481823,ENSG00000223117
miRNet-snc-76,MIMAT0000103,hsa-mir-106a-5p,RNU1-39P,106481953,ENSG00000206624
miRNet-snc-77,MIMAT0000103,hsa-mir-106a-5p,RNU1-148P,106481635,ENSG00000207201
miRNet-snc-78,MIMAT0000103,hsa-mir-106a-5p,RNU2-35P,106480212,ENSG00000252255
miRNet-snc-79,MIMAT0000103,hsa-mir-106a-5p,RN7SL775P,106481859,ENSG00000243370
miRNet-snc-80,MIMAT0000103,hsa-mir-106a-5p,RNU1-109P,106481625,ENSG00000206687
miRNet-snc-81,MIMAT0000103,hsa-mir-106a-5p,SNORA37,677819,ENSG00000207233
miRNet-snc-82,MIMAT0000103,hsa-mir-106a-5p,RNU1-131P,106480193,ENSG00000238833
miRNet-snc-83,MIMAT0000680,hsa-mir-106b-5p,RN7SL296P,106481003,ENSG00000263587
miRNet-snc-84,MIMAT0000680,hsa-mir-106b-5p,RN7SKP296,106481823,ENSG00000223117
miRNet-snc-85,MIMAT0000680,hsa-mir-106b-5p,RNU1-39P,106481953,ENSG00000206624
miRNet-snc-86,MIMAT0000680,hsa-mir-106b-5p,RNU1-148P,106481635,ENSG00000207201
miRNet-snc-87,MIMAT0000680,hsa-mir-106b-5p,RNU2-35P,106480212,ENSG00000252255
miRNet-snc-88,MIMAT0000680,hsa-mir-106b-5p,RN7SL775P,106481859,ENSG00000243370
miRNet-snc-89,MIMAT0000680,hsa-mir-106b-5p,RNU1-109P,106481625,ENSG00000206687
miRNet-snc-90,MIMAT0000680,hsa-mir-106b-5p,SNORA37,677819,ENSG00000207233
