miRNA_ID,miRBase_acc,TSS_position,TSS_score,TSS_CAGE,TSS_tag,TSS_DNase,TSS_H3K4me3,TSS_Pol II
hsa-mir-100,MI0000102,chr11:122253508-122260128[-],804,YES,YES,YES,YES,NO
hsa-mir-100,MI0000102,chr11:122280208-122280788[-],0.75,YES,YES,NO,NO,NO
hsa-mir-100,MI0000102,chr11:122297348-122297448[-],706,YES,YES,NO,NO,NO
hsa-mir-100,MI0000102,chr11:122300688-122303628[-],798,YES,YES,YES,YES,NO
hsa-mir-100,MI0000102,chr11:122309988-122310168[-],739,NO,YES,YES,NO,NO
hsa-mir-100,MI0000102,chr11:122315508-122315688[-],809,NO,YES,YES,NO,NO
hsa-mir-100,MI0000102,chr11:122329628-122330608[-],0.78,NO,YES,NO,YES,NO
hsa-mir-101-1,MI0000103,chr1:65164308-65169388[-],789,YES,YES,YES,YES,YES
hsa-mir-101-1,MI0000103,chr1:65214348-65215208[-],759,NO,NO,NO,YES,NO
hsa-mir-101-1,MI0000103,chr1:65246888-65250728[-],776,YES,YES,YES,YES,NO
hsa-mir-101-2,MI0000739,chr9:4659457-4659557[+],713,NO,NO,YES,NO,NO
hsa-mir-101-2,MI0000739,chr9:4662437-4662897[+],738,NO,NO,YES,YES,NO
hsa-mir-101-2,MI0000739,chr9:4691737-4694497[+],0.82,YES,YES,YES,YES,YES
hsa-mir-103a-1,MI0000109,chr5:168660973-168660973[-],751,YES,YES,NO,NO,NO
hsa-mir-103a-1,MI0000109,chr5:168668893-168669013[-],751,YES,YES,NO,NO,NO
hsa-mir-103a-1,MI0000109,chr5:168673313-168673553[-],751,YES,NO,NO,NO,NO
hsa-mir-103a-1,MI0000109,chr5:168676893-168681633[-],752,YES,YES,YES,YES,YES
hsa-mir-103a-1,MI0000109,chr5:168715033-168716593[-],0.76,YES,YES,NO,NO,NO
hsa-mir-103a-1,MI0000109,chr5:168717573-168717733[-],749,NO,YES,NO,NO,NO
hsa-mir-103a-1,MI0000109,chr5:168753333-168755413[-],751,YES,YES,YES,NO,NO
hsa-mir-103a-2,MI0000108,chr20:3718594-3718874[+],704,NO,YES,YES,YES,YES
hsa-mir-103a-2,MI0000108,chr20:3719834-3721594[+],858,YES,YES,YES,YES,YES
hsa-mir-103a-2,MI0000108,chr20:3745814-3747954[+],844,YES,YES,YES,YES,YES
hsa-mir-103a-2,MI0000108,chr20:3755194-3755314[+],717,NO,YES,YES,NO,NO
hsa-mir-103a-2,MI0000108,chr20:3788114-3788214[+],701,YES,YES,YES,YES,YES
hsa-mir-103a-2,MI0000108,chr20:3788834-3791674[+],0.8,YES,YES,YES,YES,YES
hsa-mir-103a-2,MI0000108,chr20:3808794-3808914[+],731,NO,YES,YES,NO,NO
hsa-mir-103b-1,MI0007261,chr5:168364804-168364824[+],0.7,NO,YES,NO,NO,NO
hsa-mir-103b-1,MI0007261,chr5:168386064-168387584[+],851,YES,YES,YES,YES,YES
hsa-mir-103b-1,MI0007261,chr5:168400644-168400744[+],702,NO,YES,NO,NO,NO
hsa-mir-103b-1,MI0007261,chr5:168428424-168430204[+],794,YES,YES,NO,YES,NO
hsa-mir-103b-1,MI0007261,chr5:168450004-168450184[+],704,NO,YES,NO,NO,NO
hsa-mir-103b-1,MI0007261,chr5:168453064-168453124[+],0.7,NO,YES,NO,NO,NO
hsa-mir-103b-1,MI0007261,chr5:168454044-168454084[+],0.7,NO,YES,NO,NO,NO
hsa-mir-103b-2,MI0007262,chr20:4024403-4024503[-],716,NO,YES,YES,NO,NO
hsa-mir-103b-2,MI0007262,chr20:4031723-4033223[-],726,NO,YES,NO,YES,NO
hsa-mir-103b-2,MI0007262,chr20:4035403-4035583[-],711,NO,YES,YES,NO,NO
hsa-mir-103b-2,MI0007262,chr20:4080783-4081023[-],785,NO,YES,YES,NO,YES
hsa-mir-103b-2,MI0007262,chr20:4106783-4106943[-],721,NO,YES,YES,NO,NO
hsa-mir-103b-2,MI0007262,chr20:4113403-4116283[-],784,YES,YES,YES,YES,YES
hsa-mir-105-1,MI0000111,chrX:152550539-152551779[-],848,YES,YES,NO,YES,NO
hsa-mir-105-1,MI0000111,chrX:152553439-152553699[-],716,NO,YES,NO,NO,NO
hsa-mir-105-2,MI0000112,chrX:152549692-152550012[-],716,NO,NO,NO,YES,NO
hsa-mir-105-2,MI0000112,chrX:152550532-152551792[-],844,YES,YES,NO,YES,NO
hsa-mir-105-2,MI0000112,chrX:152553452-152553692[-],738,NO,YES,NO,NO,NO
hsa-mir-106a,MI0000113,chrX:134270418-134274138[-],0.78,YES,YES,YES,YES,NO
hsa-mir-106a,MI0000113,chrX:134335758-134335838[-],708,NO,YES,NO,YES,NO
hsa-mir-106a,MI0000113,chrX:134336458-134338218[-],859,YES,YES,YES,YES,NO
hsa-mir-106a,MI0000113,chrX:134339318-134339338[-],703,NO,NO,NO,YES,NO
hsa-mir-106a,MI0000113,chrX:134344218-134344338[-],719,NO,YES,NO,NO,NO
hsa-mir-106a,MI0000113,chrX:134349398-134349418[-],718,NO,YES,NO,NO,NO
hsa-mir-106b,MI0000734,chr7:100199914-100202574[-],777,YES,YES,YES,YES,YES
hsa-mir-106b,MI0000734,chr7:100218534-100220934[-],828,YES,YES,YES,YES,YES
hsa-mir-106b,MI0000734,chr7:100222354-100222374[-],708,NO,YES,NO,NO,YES
hsa-mir-106b,MI0000734,chr7:100225874-100228474[-],0.77,YES,YES,YES,YES,YES
hsa-mir-106b,MI0000734,chr7:100230814-100231214[-],744,NO,YES,YES,YES,NO
hsa-mir-106b,MI0000734,chr7:100248434-100250074[-],828,YES,YES,YES,YES,YES
hsa-mir-106b,MI0000734,chr7:100258394-100259074[-],752,YES,YES,YES,YES,YES
hsa-mir-106b,MI0000734,chr7:100268494-100269074[-],712,YES,YES,YES,YES,NO
hsa-mir-106b,MI0000734,chr7:100271034-100271814[-],721,YES,YES,NO,YES,NO
hsa-mir-106b,MI0000734,chr7:100277154-100278274[-],795,YES,YES,YES,YES,NO
hsa-mir-107,MI0000114,chr10:89743047-89746047[-],865,YES,YES,YES,YES,YES
hsa-mir-107,MI0000114,chr10:89748187-89748287[-],727,NO,YES,YES,NO,NO
hsa-mir-10a,MI0000266,chr17:48685287-48686167[-],797,NO,YES,YES,YES,NO
hsa-mir-10a,MI0000266,chr17:48690067-48690467[-],718,YES,YES,NO,NO,NO
hsa-mir-10a,MI0000266,chr17:48693967-48694147[-],768,YES,YES,YES,NO,NO
hsa-mir-10a,MI0000266,chr17:48696467-48696487[-],0.7,YES,YES,NO,NO,NO
hsa-mir-10a,MI0000266,chr17:48698047-48698267[-],711,YES,YES,NO,NO,NO
hsa-mir-10a,MI0000266,chr17:48702687-48705047[-],716,YES,YES,YES,NO,NO
hsa-mir-10a,MI0000266,chr17:48707847-48707867[-],0.7,NO,YES,NO,NO,NO
hsa-mir-10a,MI0000266,chr17:48710327-48711227[-],735,YES,YES,YES,NO,NO
hsa-mir-10a,MI0000266,chr17:48713387-48713667[-],711,YES,YES,NO,NO,NO
hsa-mir-10a,MI0000266,chr17:48714847-48715547[-],713,YES,YES,NO,NO,NO
hsa-mir-10a,MI0000266,chr17:48718667-48718847[-],812,YES,YES,YES,NO,NO
hsa-mir-10a,MI0000266,chr17:48726087-48726487[-],709,YES,YES,NO,NO,NO
hsa-mir-10a,MI0000266,chr17:48736587-48737267[-],735,NO,YES,YES,NO,YES
hsa-mir-10a,MI0000266,chr17:48739147-48739427[-],727,YES,YES,NO,NO,NO
hsa-mir-10a,MI0000266,chr17:48746787-48747327[-],706,YES,YES,NO,NO,NO
hsa-mir-10a,MI0000266,chr17:48771607-48772467[-],821,NO,YES,YES,YES,NO
hsa-mir-10a,MI0000266,chr17:48778507-48778687[-],762,NO,YES,YES,NO,NO
hsa-mir-10b,MI0000267,chr2:175966043-175967503[+],734,NO,NO,NO,YES,NO
hsa-mir-10b,MI0000267,chr2:175968563-175968583[+],708,NO,NO,NO,YES,NO
hsa-mir-10b,MI0000267,chr2:175987083-175987283[+],707,NO,NO,YES,YES,YES
hsa-mir-10b,MI0000267,chr2:175987923-175988723[+],758,NO,YES,YES,YES,YES
hsa-mir-10b,MI0000267,chr2:175989623-175989823[+],712,NO,YES,YES,YES,YES
hsa-mir-10b,MI0000267,chr2:175992563-175992803[+],724,YES,YES,NO,NO,NO
hsa-mir-10b,MI0000267,chr2:175995983-175996463[+],757,NO,YES,NO,YES,NO
hsa-mir-10b,MI0000267,chr2:175997103-175997803[+],779,YES,YES,YES,YES,NO
hsa-mir-10b,MI0000267,chr2:176004263-176004643[+],731,YES,YES,NO,NO,NO
hsa-mir-10b,MI0000267,chr2:176005323-176005603[+],723,YES,YES,NO,NO,NO
hsa-mir-10b,MI0000267,chr2:176007163-176007423[+],725,YES,YES,NO,NO,NO
hsa-mir-10b,MI0000267,chr2:176008663-176009263[+],722,YES,YES,NO,NO,NO
hsa-mir-10b,MI0000267,chr2:176011463-176012923[+],717,NO,YES,NO,NO,NO
hsa-mir-10b,MI0000267,chr2:176016743-176017143[+],722,YES,YES,NO,NO,NO
hsa-mir-10b,MI0000267,chr2:176019003-176019083[+],721,NO,YES,NO,NO,NO
hsa-mir-10b,MI0000267,chr2:176020483-176020523[+],0.72,YES,YES,NO,NO,NO
hsa-mir-10b,MI0000267,chr2:176022303-176022943[+],729,YES,YES,NO,NO,NO
hsa-mir-10b,MI0000267,chr2:176026083-176028163[+],712,NO,YES,YES,NO,NO
hsa-mir-10b,MI0000267,chr2:176029563-176029863[+],728,YES,YES,NO,NO,NO
hsa-mir-10b,MI0000267,chr2:176030523-176030543[+],718,YES,YES,NO,NO,NO
hsa-mir-10b,MI0000267,chr2:176032443-176032503[+],0.72,NO,YES,NO,NO,NO
hsa-mir-10b,MI0000267,chr2:176035303-176035483[+],719,YES,YES,NO,NO,NO
hsa-mir-10b,MI0000267,chr2:176036523-176037043[+],727,YES,YES,NO,NO,NO
hsa-mir-10b,MI0000267,chr2:176039363-176041083[+],769,NO,YES,YES,YES,NO
hsa-mir-10b,MI0000267,chr2:176046183-176046343[+],729,YES,YES,NO,NO,NO
hsa-mir-1-1,MI0000651,chr20:62361206-62361426[+],748,NO,NO,YES,NO,NO
hsa-mir-1-1,MI0000651,chr20:62371546-62371566[+],703,NO,NO,NO,NO,YES
hsa-mir-1-1,MI0000651,chr20:62372206-62372706[+],766,NO,YES,NO,NO,YES
hsa-mir-1-1,MI0000651,chr20:62375946-62376206[+],746,YES,YES,YES,NO,NO
hsa-mir-1-1,MI0000651,chr20:62385166-62385666[+],771,NO,NO,NO,NO,YES
hsa-mir-1-1,MI0000651,chr20:62387726-62388406[+],776,NO,NO,NO,NO,YES
hsa-mir-1-1,MI0000651,chr20:62400326-62400506[+],822,YES,NO,YES,NO,NO
hsa-mir-1-1,MI0000651,chr20:62415806-62416486[+],716,NO,NO,YES,NO,NO
hsa-mir-1-1,MI0000651,chr20:62435566-62436246[+],732,NO,NO,YES,NO,NO
hsa-mir-1-1,MI0000651,chr20:62437106-62437366[+],746,NO,NO,YES,NO,NO
hsa-mir-1-1,MI0000651,chr20:62440826-62441486[+],724,NO,NO,NO,NO,YES
hsa-mir-1-1,MI0000651,chr20:62449946-62451726[+],0.82,YES,YES,YES,YES,NO
hsa-mir-1178,MI0006271,chr12:119816764-119816904[-],721,NO,YES,NO,NO,NO
hsa-mir-1178,MI0006271,chr12:119831664-119831684[-],718,YES,YES,NO,NO,NO
hsa-mir-1178,MI0006271,chr12:119845364-119845384[-],722,YES,YES,NO,NO,NO
hsa-mir-1178,MI0006271,chr12:119847584-119847884[-],715,NO,YES,NO,YES,NO
hsa-mir-1178,MI0006271,chr12:119848404-119849244[-],801,NO,YES,NO,YES,NO
hsa-mir-1178,MI0006271,chr12:119850344-119850364[-],703,NO,NO,NO,YES,NO
hsa-mir-1178,MI0006271,chr12:119867104-119867184[-],0.72,NO,YES,NO,NO,NO
hsa-mir-1178,MI0006271,chr12:119872824-119872944[-],721,NO,YES,NO,NO,NO
hsa-mir-1178,MI0006271,chr12:119877804-119877864[-],0.72,NO,YES,NO,NO,NO
hsa-mir-1178,MI0006271,chr12:119885664-119887624[-],718,NO,YES,YES,NO,NO
hsa-mir-1178,MI0006271,chr12:119897044-119897124[-],704,NO,NO,NO,YES,NO
hsa-mir-1178,MI0006271,chr12:119897744-119898504[-],825,NO,YES,NO,YES,NO
hsa-mir-1178,MI0006271,chr12:119899804-119905084[-],811,YES,YES,YES,YES,NO
hsa-mir-1178,MI0006271,chr12:119905744-119905764[-],707,NO,YES,NO,YES,NO
hsa-mir-1179,MI0006272,chr15:88445607-88447167[+],851,YES,YES,YES,YES,YES
hsa-mir-1179,MI0006272,chr15:88471267-88471407[+],736,NO,NO,YES,NO,NO
