miRNA_ID,miRNA_location,PCG,PCG_embl,lncRNA_embl,Intragenic/Intergenic,PCG_exon/intron,lncRNA_exon/intron
hsa-miR-6859-1,chr1:17369-17436[-],,,,Intergenic,,
hsa-miR-1302-2,chr1:30366-30503[+],,,ENSG00000243485,Intragenic,,exon
hsa-miR-6859-2,chr1:187891-187958[-],,,,Intergenic,,
hsa-miR-200b,chr1:1167104-1167198[+],,,,Intergenic,,
hsa-miR-200a,chr1:1167863-1167952[+],,,,Intergenic,,
hsa-miR-429,chr1:1169005-1169087[+],,,,Intergenic,,
hsa-miR-6726,chr1:1296110-1296170[-],ACAP3,ENSG00000131584,,Intragenic,intron,
hsa-miR-6727,chr1:1312502-1312566[-],INTS11,ENSG00000127054,,Intragenic,exon,
hsa-miR-6808,chr1:1339650-1339708[-],DVL1,ENSG00000107404,,Intragenic,exon,
hsa-miR-4251,chr1:3127975-3128035[+],PRDM16,ENSG00000142611,,Intragenic,intron,
hsa-miR-551a,chr1:3560695-3560790[-],MEGF6,ENSG00000162591,,Intragenic,intron,
hsa-miR-4689,chr1:5862672-5862741[-],,,,Intergenic,,
hsa-miR-4252,chr1:6429834-6429896[-],ESPN,ENSG00000187017,,Intragenic,intron,
hsa-miR-6728,chr1:8866502-8866590[-],ENO1,ENSG00000074800,,Intragenic,intron,
hsa-miR-34a,chr1:9151668-9151777[-],,,ENSG00000228526,Intragenic,,exon
hsa-miR-5697,chr1:9967381-9967458[+],NMNAT1,ENSG00000173614,,Intragenic,intron,
hsa-miR-6729,chr1:12029158-12029222[+],MIIP,ENSG00000116691,,Intragenic,intron,
hsa-miR-7846,chr1:12166943-12167038[+],TNFRSF1B,ENSG00000028137,,Intragenic,exon,
hsa-miR-4632,chr1:12191713-12191773[+],TNFRSF1B,ENSG00000028137,,Intragenic,intron,
hsa-miR-6730,chr1:12578957-12579023[-],DHRS3,ENSG00000162496,,Intragenic,intron,
hsa-miR-3675,chr1:16858949-16859021[-],CROCC,ENSG00000058453,,Intragenic,intron,
hsa-miR-3972,chr1:17277889-17277975[+],PADI3,ENSG00000142619,,Intragenic,intron,
hsa-miR-4695,chr1:18883202-18883275[-],ALDH4A1,ENSG00000159423,,Intragenic,intron,
hsa-miR-1290,chr1:18897071-18897148[-],ALDH4A1,ENSG00000159423,,Intragenic,intron,
hsa-miR-6084,chr1:20633679-20633788[+],PINK1,ENSG00000158828,,Intragenic,exon,
hsa-miR-1256,chr1:20988314-20988432[-],EIF4G3,ENSG00000075151,,Intragenic,intron,
hsa-miR-4418,chr1:22266239-22266300[+],,,,Intergenic,,
hsa-miR-6127,chr1:22633258-22633366[-],,,,Intergenic,,
